id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
AO06037,Ambaca,Ambaca,ambaca-ao06037,AO06037,5,-8.248,15.485
AO06038,Banga,Banga,banga-ao06038,AO06038,5,-8.709,15.136
AO06039,Bolongongo,Bolongongo,bolongongo-ao06039,AO06039,3,-8.384,15.134
AO06041,Cambambe (Kambambe),Cambambe (Kambambe),cambambe-kambambe-ao06041,AO06041,5,-9.315,14.293
AO06042,Cazengo,Cazengo,cazengo-ao06042,AO06042,2,-9.285,14.74
AO06044,Golungo Alto,Golungo Alto,golungo-alto-ao06044,AO06044,4,-9.043,14.657
AO06045,Lucala,Lucala,lucala-ao06045,AO06045,2,-9.144,15.272
AO06046,Ngonguembo,Ngonguembo,ngonguembo-ao06046,AO06046,2,-8.902,14.845
AO06048,Quiculungo,Quiculungo,quiculungo-ao06048,AO06048,1,-8.493,15.295
AO06049,Samba Cajú,Samba Cajú,samba-caj-ao06049,AO06049,2,-8.816,15.486
