id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
AO10081,Bailundo,Bailundo,bailundo-ao10081,AO10081,5,-11.924,15.679
AO10082,Caála,Caála,cala-ao10082,AO10082,4,-13.252,15.515
AO10083,Catchiungo,Catchiungo,catchiungo-ao10083,AO10083,3,-12.841,16.351
AO10084,Ecunha (Ekunha),Ecunha (Ekunha),ecunha-ekunha-ao10084,AO10084,2,-12.522,15.481
AO10085,Huambo,Huambo,huambo-ao10085,AO10085,3,-12.828,15.804
AO10086,Londuimbale,Londuimbale,londuimbale-ao10086,AO10086,5,-12.252,15.35
AO10087,Longonjo,Longonjo,longonjo-ao10087,AO10087,4,-13.043,15.314
AO10088,Mungo,Mungo,mungo-ao10088,AO10088,2,-11.737,16.176
AO10089,Tchikala-Tcholohanga,Tchikala-Tcholohanga,tchikala-tcholohanga-ao10089,AO10089,4,-12.864,16.089
AO10090,Tchinjenje,Tchinjenje,tchinjenje-ao10090,AO10090,2,-12.84,14.937
AO10091,Ukuma,Ukuma,ukuma-ao10091,AO10091,3,-12.762,15.129
