id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
AO02006,Baía Farta,Baía Farta,baa-farta-ao02006,AO02006,4,-13.104,13.257
AO02007,Balombo,Balombo,balombo-ao02007,AO02007,3,-12.355,14.752
AO02008,Benguela,Benguela,benguela-ao02008,AO02008,1,-12.811,13.612
AO02009,Bocoio,Bocoio,bocoio-ao02009,AO02009,5,-12.287,14.22
AO02010,Caimbambo,Caimbambo,caimbambo-ao02010,AO02010,5,-13.082,13.95
AO02164,Catumbela,Catumbela,catumbela-ao02164,AO02164,3,-12.497,13.652
AO02011,Chongoroi,Chongoroi,chongoroi-ao02011,AO02011,2,-13.499,13.761
AO02012,Cubal,Cubal,cubal-ao02012,AO02012,4,-13.157,14.392
AO02013,Ganda,Ganda,ganda-ao02013,AO02013,5,-13.122,14.764
AO02014,Lobito,Lobito,lobito-ao02014,AO02014,3,-12.096,13.899
