id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
AO09068,Caconda,Caconda,caconda-ao09068,AO09068,4,-13.755,15.137
AO09165,Cacula,Cacula,cacula-ao09165,AO09165,4,-14.413,14.385
AO09069,Caluquembe,Caluquembe,caluquembe-ao09069,AO09069,3,-13.928,14.557
AO09070,Chibia,Chibia,chibia-ao09070,AO09070,4,-15.208,13.824
AO09071,Chicomba,Chicomba,chicomba-ao09071,AO09071,2,-14.318,15.029
AO09072,Chipindo,Chipindo,chipindo-ao09072,AO09072,2,-13.915,15.712
AO09076,Cuvango (Kuvango),Cuvango (Kuvango),cuvango-kuvango-ao09076,AO09076,3,-14.275,16.303
AO09073,Gambos (ex-Chiange),Gambos (ex-Chiange),gambos-ex-chiange-ao09073,AO09073,2,-15.833,14.234
AO09074,Humpata,Humpata,humpata-ao09074,AO09074,1,-15.098,13.384
AO09075,Jamba,Jamba,jamba-ao09075,AO09075,3,-14.783,15.816
AO09077,Lubango,Lubango,lubango-ao09077,AO09077,3,-14.788,13.737
AO09078,Matala,Matala,matala-ao09078,AO09078,3,-15.252,15.192
AO09079,Quilengues,Quilengues,quilengues-ao09079,AO09079,3,-14.163,13.755
AO09080,Quipungo (Tchipungo),Quipungo (Tchipungo),quipungo-tchipungo-ao09080,AO09080,1,-15.073,14.583
