id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
AO01001,Ambriz,Ambriz,ambriz-ao01001,AO01001,3,-7.972,13.511
AO01040,Bula-Atumba,Bula-Atumba,bula-atumba-ao01040,AO01040,2,-8.602,14.853
AO01002,Dande,Dande,dande-ao01002,AO01002,6,-8.5,13.813
AO01043,Dembos-Quibaxe,Dembos-Quibaxe,dembos-quibaxe-ao01043,AO01043,4,-8.548,14.532
AO01005,Nambuangongo,Nambuangongo,nambuangongo-ao01005,AO01005,7,-8.042,14.284
AO01047,Pango-Aluquém,Pango-Aluquém,pango-aluqum-ao01047,AO01047,1,-8.754,14.495
