id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
AO12101,Cambulo,Cambulo,cambulo-ao12101,AO12101,4,-7.93,21.442
AO12102,Capenda-Camulemba,Capenda-Camulemba,capenda-camulemba-ao12102,AO12102,2,-9.686,18.931
AO12103,Caungula,Caungula,caungula-ao12103,AO12103,2,-8.366,18.804
AO12104,Chitato (Lóvua),Chitato (Lóvua),chitato-lvua-ao12104,AO12104,3,-7.394,20.459
AO12105,Cuango,Cuango,cuango-ao12105,AO12105,2,-8.667,18.123
AO12106,Cuilo,Cuilo,cuilo-ao12106,AO12106,2,-8.011,19.682
AO12107,Lubalo,Lubalo,lubalo-ao12107,AO12107,3,-9.281,19.339
AO12108,Lucapa,Lucapa,lucapa-ao12108,AO12108,4,-8.526,20.626
AO12109,Xá-Muteba,Xá-Muteba,x-muteba-ao12109,AO12109,3,-9.138,17.815
