id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
AO07050,Amboim (Gabela),Amboim (Gabela),amboim-gabela-ao07050,AO07050,2,-10.9,14.402
AO07051,Cassongue,Cassongue,cassongue-ao07051,AO07051,4,-11.787,14.961
AO07061,Cela (Waku Kungo),Cela (Waku Kungo),cela-waku-kungo-ao07061,AO07061,3,-11.31,15.351
AO07052,Conda,Conda,conda-ao07052,AO07052,2,-11.164,14.493
AO07053,Ebo,Ebo,ebo-ao07053,AO07053,3,-10.89,14.751
AO07054,Libolo (Calulo),Libolo (Calulo),libolo-calulo-ao07054,AO07054,4,-10.079,14.968
AO07055,Mussende,Mussende,mussende-ao07055,AO07055,3,-10.36,16.111
AO07056,Porto Amboim,Porto Amboim,porto-amboim-ao07056,AO07056,2,-10.617,14.003
AO07057,Quibala,Quibala,quibala-ao07057,AO07057,4,-10.76,15.367
AO07058,Quilenda,Quilenda,quilenda-ao07058,AO07058,2,-10.529,14.401
AO07059,Seles (Uku Seles),Seles (Uku Seles),seles-uku-seles-ao07059,AO07059,3,-11.438,14.498
AO07060,Sumbe (Ngangula),Sumbe (Ngangula),sumbe-ngangula-ao07060,AO07060,4,-11.436,13.924
