id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
AO03015,Andulo,Andulo,andulo-ao03015,AO03015,4,-11.253,16.425
AO03016,Camacupa,Camacupa,camacupa-ao03016,AO03016,5,-12.38,17.712
AO03017,Catabola,Catabola,catabola-ao03017,AO03017,4,-12.138,17.248
AO03018,Chinguar,Chinguar,chinguar-ao03018,AO03018,3,-12.547,16.52
AO03019,Chitembo,Chitembo,chitembo-ao03019,AO03019,6,-13.579,17.243
AO03020,Cuemba,Cuemba,cuemba-ao03020,AO03020,4,-11.734,18.302
AO03022,Cuito (Kuito),Cuito (Kuito),cuito-kuito-ao03022,AO03022,4,-12.469,17.004
AO03021,Cunhinga,Cunhinga,cunhinga-ao03021,AO03021,1,-11.974,16.822
AO03023,N'harea,N'harea,nharea-ao03023,AO03023,5,-11.288,17.222
