id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
AO05028,Calai,Calai,calai-ao05028,AO05028,2,-17.338,19.476
AO05029,Cuangar,Cuangar,cuangar-ao05029,AO05029,3,-17.095,18.15
AO05030,Cuchi,Cuchi,cuchi-ao05030,AO05030,3,-14.739,17.009
AO05031,Cuito Cuanavale,Cuito Cuanavale,cuito-cuanavale-ao05031,AO05031,4,-14.852,19.023
AO05032,Dirico,Dirico,dirico-ao05032,AO05032,3,-17.517,20.731
AO05033,Mavinga,Mavinga,mavinga-ao05033,AO05033,4,-16.142,20.091
AO05034,Menongue,Menongue,menongue-ao05034,AO05034,3,-15.152,17.723
AO05035,Nancova,Nancova,nancova-ao05035,AO05035,2,-16.448,18.697
AO05036,Rivungo,Rivungo,rivungo-ao05036,AO05036,3,-16.771,21.921
