id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.municipality,children_count.commune,zip_codes,geo.lat,geo.lon
AO17150,2,Município,Municipality,Mucaba,Mucaba,mucaba-ao17150,AO17150,,AO17,Uíge,Uíge,,,2,,-7.083,15.066
AO17151,2,Município,Municipality,Negage,Negage,negage-ao17151,AO17151,,AO17,Uíge,Uíge,,,3,,-7.818,15.338
AO17152,2,Município,Municipality,Puri,Puri,puri-ao17152,AO17152,,AO17,Uíge,Uíge,,,1,,-7.656,15.661
AO17153,2,Município,Municipality,Quimbele,Quimbele,quimbele-ao17153,AO17153,,AO17,Uíge,Uíge,,,4,,-6.32,16.338
AO17154,2,Município,Municipality,Quitexe,Quitexe,quitexe-ao17154,AO17154,,AO17,Uíge,Uíge,,,4,,-8.04,14.952
AO17155,2,Município,Municipality,Sanza Pombo,Sanza Pombo,sanza-pombo-ao17155,AO17155,,AO17,Uíge,Uíge,,,4,,-7.227,16.112
AO17156,2,Município,Municipality,Songo,Songo,songo-ao17156,AO17156,,AO17,Uíge,Uíge,,,2,,-7.137,14.758
AO17157,2,Município,Municipality,Uíge,Uíge,uge-ao17157,AO17157,,AO17,Uíge,Uíge,,,1,,-7.568,15.077
AO18,1,Província,Province,Zaire,Zaire,zaire-ao18,AO18,,,,,,6,21,,-6.821,13.464
AO18158,2,Município,Municipality,Cuimba,Cuimba,cuimba-ao18158,AO18158,,AO18,Zaire,Zaire,,,2,,-6.239,14.671
AO18159,2,Município,Municipality,Mbanza Congo,Mbanza Congo,mbanza-congo-ao18159,AO18159,,AO18,Zaire,Zaire,,,4,,-6.36,14.195
AO18160,2,Município,Municipality,N'Zeto,N'Zeto,nzeto-ao18160,AO18160,,AO18,Zaire,Zaire,,,4,,-7.346,13.389
AO18161,2,Município,Municipality,Nóqui,Nóqui,nqui-ao18161,AO18161,,AO18,Zaire,Zaire,,,3,,-6.196,13.495
AO18162,2,Município,Municipality,Soyo,Soyo,soyo-ao18162,AO18162,,AO18,Zaire,Zaire,,,4,,-6.301,12.749
AO18163,2,Município,Municipality,Tomboco,Tomboco,tomboco-ao18163,AO18163,,AO18,Zaire,Zaire,,,4,,-6.684,13.407
