id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
AO11098,Belas (Samba),Belas (Samba),belas-samba-ao11098,AO11098,6,-9.115,13.151
AO11092,Cacuaco,Cacuaco,cacuaco-ao11092,AO11092,3,-8.817,13.43
AO11093,Cazenga,Cazenga,cazenga-ao11093,AO11093,4,-8.822,13.297
AO11003,Icolo e Bengo,Icolo e Bengo,icolo-e-bengo-ao11003,AO11003,4,-9.189,13.887
AO11094,Luanda,Luanda,luanda-ao11094,AO11094,16,-8.832,13.244
AO11004,"Quissama (Muxima, Quiçama)","Quissama (Muxima, Quiçama)",quissama-muxima-quiama-ao11004,AO11004,4,-9.795,13.923
AO11100,Viana,Viana,viana-ao11100,AO11100,2,-9.008,13.399
